Sensor,n_medidas,n_dif_validas
1,12183,12182
2,11707,11706
3,11741,11740
4,6599,6598
5,5838,5837
6,5864,5863
7,11782,11781
8,11625,11624
9,11755,11754
10,5818,5817
11,5849,5848
12,5872,5871
13,11655,11654
14,11772,11771
15,11705,11704
16,5622,5621
17,5796,5795
18,5757,5756
19,11664,11663
20,11602,11601
21,11672,11671
22,5725,5724
23,5862,5861
24,5835,5834
25,11763,11762
26,12398,12397
27,11702,11701
28,5858,5857
29,5743,5742
30,5831,5830
