Sensor,Linha,Coluna,classe_gap_5,n
1,1,1,falha_comunicacao(<5),1268
1,1,1,falha_maior_que_5(>5),441
1,1,1,ok(=5),10473
2,2,1,falha_comunicacao(<5),502
2,2,1,falha_maior_que_5(>5),542
2,2,1,ok(=5),10662
3,3,1,falha_comunicacao(<5),411
3,3,1,falha_maior_que_5(>5),469
3,3,1,ok(=5),10860
4,1,2,falha_comunicacao(<5),723
4,1,2,falha_maior_que_5(>5),5875
5,2,2,falha_comunicacao(<5),36
5,2,2,falha_maior_que_5(>5),5801
6,3,2,falha_comunicacao(<5),40
6,3,2,falha_maior_que_5(>5),5823
7,1,3,falha_comunicacao(<5),431
7,1,3,falha_maior_que_5(>5),478
7,1,3,ok(=5),10872
8,2,3,falha_comunicacao(<5),560
8,2,3,falha_maior_que_5(>5),670
8,2,3,ok(=5),10394
9,3,3,falha_comunicacao(<5),516
9,3,3,falha_maior_que_5(>5),508
9,3,3,ok(=5),10730
10,1,4,falha_comunicacao(<5),49
10,1,4,falha_maior_que_5(>5),5768
11,2,4,falha_comunicacao(<5),34
11,2,4,falha_maior_que_5(>5),5814
12,3,4,falha_comunicacao(<5),12
12,3,4,falha_maior_que_5(>5),5859
13,1,5,falha_comunicacao(<5),509
13,1,5,falha_maior_que_5(>5),575
13,1,5,ok(=5),10570
14,2,5,falha_comunicacao(<5),674
14,2,5,falha_maior_que_5(>5),500
14,2,5,ok(=5),10597
15,3,5,falha_comunicacao(<5),572
15,3,5,falha_maior_que_5(>5),543
15,3,5,ok(=5),10589
16,1,6,falha_comunicacao(<5),126
16,1,6,falha_maior_que_5(>5),5495
17,2,6,falha_comunicacao(<5),62
17,2,6,falha_maior_que_5(>5),5733
18,3,6,falha_comunicacao(<5),98
18,3,6,falha_maior_que_5(>5),5658
19,1,7,falha_comunicacao(<5),604
19,1,7,falha_maior_que_5(>5),598
19,1,7,ok(=5),10461
20,2,7,falha_comunicacao(<5),608
20,2,7,falha_maior_que_5(>5),716
20,2,7,ok(=5),10277
21,3,7,falha_comunicacao(<5),583
21,3,7,falha_maior_que_5(>5),588
21,3,7,ok(=5),10500
22,1,8,falha_comunicacao(<5),114
22,1,8,falha_maior_que_5(>5),5610
23,2,8,falha_comunicacao(<5),28
23,2,8,falha_maior_que_5(>5),5833
24,3,8,falha_comunicacao(<5),30
24,3,8,falha_maior_que_5(>5),5804
25,1,9,falha_comunicacao(<5),1825
25,1,9,falha_maior_que_5(>5),1087
25,1,9,ok(=5),8850
26,2,9,falha_comunicacao(<5),2455
26,2,9,falha_maior_que_5(>5),801
26,2,9,ok(=5),9141
27,3,9,falha_comunicacao(<5),538
27,3,9,falha_maior_que_5(>5),583
27,3,9,ok(=5),10580
28,1,10,falha_comunicacao(<5),31
28,1,10,falha_maior_que_5(>5),5826
29,2,10,falha_comunicacao(<5),97
29,2,10,falha_maior_que_5(>5),5645
30,3,10,falha_comunicacao(<5),38
30,3,10,falha_maior_que_5(>5),5792
