Sensor,Linha,Coluna,classe_gap_5,n
1,1,1,falha_comunicacao(<5),647
1,1,1,falha_maior_que_5(>5),791
1,1,1,ok(=5),10335
2,2,1,falha_comunicacao(<5),444
2,2,1,falha_maior_que_5(>5),481
2,2,1,ok(=5),11022
3,3,1,falha_comunicacao(<5),5913
3,3,1,falha_maior_que_5(>5),396
3,3,1,ok(=5),8508
4,1,2,falha_comunicacao(<5),243
4,1,2,falha_maior_que_5(>5),5968
5,2,2,falha_comunicacao(<5),65
5,2,2,falha_maior_que_5(>5),5882
6,3,2,falha_comunicacao(<5),34
6,3,2,falha_maior_que_5(>5),5937
7,1,3,falha_comunicacao(<5),503
7,1,3,falha_maior_que_5(>5),592
7,1,3,ok(=5),10824
8,2,3,falha_comunicacao(<5),525
8,2,3,falha_maior_que_5(>5),559
8,2,3,ok(=5),10864
9,3,3,falha_comunicacao(<5),3045
9,3,3,falha_maior_que_5(>5),452
9,3,3,ok(=5),9810
10,1,4,falha_comunicacao(<5),39
10,1,4,falha_maior_que_5(>5),5905
11,2,4,falha_comunicacao(<5),65
11,2,4,falha_maior_que_5(>5),5859
12,3,4,falha_comunicacao(<5),107
12,3,4,falha_maior_que_5(>5),5971
13,1,5,falha_comunicacao(<5),556
13,1,5,falha_maior_que_5(>5),615
13,1,5,ok(=5),10737
14,2,5,falha_comunicacao(<5),664
14,2,5,falha_maior_que_5(>5),672
14,2,5,ok(=5),10497
15,3,5,falha_comunicacao(<5),540
15,3,5,falha_maior_que_5(>5),529
15,3,5,ok(=5),10876
16,1,6,falha_comunicacao(<5),34
16,1,6,falha_maior_que_5(>5),5785
17,2,6,falha_comunicacao(<5),54
17,2,6,falha_maior_que_5(>5),5921
18,3,6,falha_comunicacao(<5),115
18,3,6,falha_maior_que_5(>5),5716
19,1,7,falha_comunicacao(<5),483
19,1,7,falha_maior_que_5(>5),473
19,1,7,ok(=5),11017
20,2,7,falha_comunicacao(<5),683
20,2,7,falha_maior_que_5(>5),769
20,2,7,ok(=5),10346
21,3,7,falha_comunicacao(<5),1164
21,3,7,falha_maior_que_5(>5),556
21,3,7,ok(=5),10521
22,1,8,falha_comunicacao(<5),24
22,1,8,falha_maior_que_5(>5),5866
23,2,8,falha_comunicacao(<5),20
23,2,8,falha_maior_que_5(>5),5929
24,3,8,falha_comunicacao(<5),19
24,3,8,falha_maior_que_5(>5),5950
25,1,9,falha_comunicacao(<5),797
25,1,9,falha_maior_que_5(>5),974
25,1,9,ok(=5),9840
26,2,9,falha_comunicacao(<5),585
26,2,9,falha_maior_que_5(>5),580
26,2,9,ok(=5),10767
27,3,9,falha_comunicacao(<5),816
27,3,9,falha_maior_que_5(>5),896
27,3,9,ok(=5),10004
28,1,10,falha_comunicacao(<5),57
28,1,10,falha_maior_que_5(>5),5844
29,2,10,falha_comunicacao(<5),74
29,2,10,falha_maior_que_5(>5),5804
30,3,10,falha_comunicacao(<5),84
30,3,10,falha_maior_que_5(>5),5959
