Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
23,Linha 2,Coluna 8,30.1,2025-09-27T05:19:58Z,2025-09-27T05:50:04Z
29,Linha 2,Coluna 10,30.1,2025-09-28T18:02:47Z,2025-09-28T18:32:53Z
11,Linha 2,Coluna 4,30.083333333333332,2025-09-27T16:47:29Z,2025-09-27T17:17:34Z
22,Linha 1,Coluna 8,30.083333333333332,2025-09-28T14:10:33Z,2025-09-28T14:40:38Z
12,Linha 3,Coluna 4,20.116666666666667,2025-09-28T23:33:48Z,2025-09-28T23:53:55Z
4,Linha 1,Coluna 2,20.083333333333332,2025-09-28T14:31:04Z,2025-09-28T14:51:09Z
6,Linha 3,Coluna 2,20.066666666666666,2025-09-27T05:41:34Z,2025-09-27T06:01:38Z
10,Linha 1,Coluna 4,20.066666666666666,2025-09-28T15:46:39Z,2025-09-28T16:06:43Z
16,Linha 1,Coluna 6,20.066666666666666,2025-09-27T03:21:50Z,2025-09-27T03:41:54Z
17,Linha 2,Coluna 6,20.066666666666666,2025-09-27T13:21:08Z,2025-09-27T13:41:12Z
18,Linha 3,Coluna 6,20.066666666666666,2025-09-27T12:38:11Z,2025-09-27T12:58:15Z
24,Linha 3,Coluna 8,20.066666666666666,2025-09-27T12:33:57Z,2025-09-27T12:54:01Z
28,Linha 1,Coluna 10,20.066666666666666,2025-09-27T14:17:45Z,2025-09-27T14:37:49Z
30,Linha 3,Coluna 10,20.066666666666666,2025-09-27T21:33:50Z,2025-09-27T21:53:54Z
9,Linha 3,Coluna 3,20,2025-09-28T13:08:31Z,2025-09-28T13:28:31Z
13,Linha 1,Coluna 5,15,2025-09-28T08:43:31Z,2025-09-28T08:58:31Z
19,Linha 1,Coluna 7,15,2025-09-28T01:27:53Z,2025-09-28T01:42:53Z
26,Linha 2,Coluna 9,15,2025-09-28T07:49:34Z,2025-09-28T08:04:34Z
5,Linha 2,Coluna 2,10.116666666666667,2025-09-28T17:08:19Z,2025-09-28T17:18:26Z
27,Linha 3,Coluna 9,10.033333333333333,2025-09-27T09:39:00Z,2025-09-27T09:49:02Z
8,Linha 2,Coluna 3,10.016666666666667,2025-09-27T23:48:16Z,2025-09-27T23:58:17Z
1,Linha 1,Coluna 1,10,2025-09-27T11:21:41Z,2025-09-27T11:31:41Z
2,Linha 2,Coluna 1,10,2025-09-27T07:24:21Z,2025-09-27T07:34:21Z
3,Linha 3,Coluna 1,10,2025-09-27T04:15:32Z,2025-09-27T04:25:32Z
7,Linha 1,Coluna 3,10,2025-09-27T05:49:47Z,2025-09-27T05:59:47Z
14,Linha 2,Coluna 5,10,2025-09-27T09:11:48Z,2025-09-27T09:21:48Z
15,Linha 3,Coluna 5,10,2025-09-28T04:58:11Z,2025-09-28T05:08:11Z
20,Linha 2,Coluna 7,10,2025-09-28T11:39:53Z,2025-09-28T11:49:53Z
21,Linha 3,Coluna 7,10,2025-09-27T16:07:08Z,2025-09-27T16:17:08Z
25,Linha 1,Coluna 9,10,2025-09-27T13:19:28Z,2025-09-27T13:29:28Z
