Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
15,Linha 3,Coluna 5,65,2025-08-03T18:20:48Z,2025-08-03T19:25:48Z
16,Linha 1,Coluna 6,60.18333333333333,2025-07-31T08:10:11Z,2025-07-31T09:10:22Z
14,Linha 2,Coluna 5,44.983333333333334,2025-08-03T00:25:39Z,2025-08-03T01:10:38Z
10,Linha 1,Coluna 4,40.11666666666667,2025-08-01T10:55:39Z,2025-08-01T11:35:46Z
18,Linha 3,Coluna 6,40.11666666666667,2025-08-04T16:57:55Z,2025-08-04T17:38:02Z
29,Linha 2,Coluna 10,40.11666666666667,2025-07-31T15:30:25Z,2025-07-31T16:10:32Z
22,Linha 1,Coluna 8,30.1,2025-08-03T04:40:40Z,2025-08-03T05:10:46Z
5,Linha 2,Coluna 2,30.083333333333332,2025-08-04T17:08:38Z,2025-08-04T17:38:43Z
24,Linha 3,Coluna 8,30.083333333333332,2025-07-31T16:24:52Z,2025-07-31T16:54:57Z
30,Linha 3,Coluna 10,30.083333333333332,2025-08-04T17:08:45Z,2025-08-04T17:38:50Z
20,Linha 2,Coluna 7,25,2025-08-04T03:46:47Z,2025-08-04T04:11:47Z
21,Linha 3,Coluna 7,25,2025-08-01T03:41:53Z,2025-08-01T04:06:53Z
26,Linha 2,Coluna 9,25,2025-08-01T16:32:28Z,2025-08-01T16:57:28Z
4,Linha 1,Coluna 2,20.066666666666666,2025-08-01T07:27:31Z,2025-08-01T07:47:35Z
6,Linha 3,Coluna 2,20.066666666666666,2025-08-01T00:16:51Z,2025-08-01T00:36:55Z
11,Linha 2,Coluna 4,20.066666666666666,2025-07-31T13:54:03Z,2025-07-31T14:14:07Z
12,Linha 3,Coluna 4,20.066666666666666,2025-07-31T23:55:37Z,2025-08-01T00:15:41Z
17,Linha 2,Coluna 6,20.066666666666666,2025-07-31T06:36:47Z,2025-07-31T06:56:51Z
23,Linha 2,Coluna 8,20.066666666666666,2025-08-02T13:47:26Z,2025-08-02T14:07:30Z
28,Linha 1,Coluna 10,20.066666666666666,2025-08-01T09:19:29Z,2025-08-01T09:39:33Z
1,Linha 1,Coluna 1,20,2025-08-04T17:12:51Z,2025-08-04T17:32:51Z
2,Linha 2,Coluna 1,20,2025-08-04T17:14:54Z,2025-08-04T17:34:54Z
7,Linha 1,Coluna 3,20,2025-07-31T14:55:32Z,2025-07-31T15:15:32Z
8,Linha 2,Coluna 3,20,2025-08-04T17:14:05Z,2025-08-04T17:34:05Z
9,Linha 3,Coluna 3,20,2025-08-04T17:14:40Z,2025-08-04T17:34:40Z
13,Linha 1,Coluna 5,20,2025-08-04T17:16:11Z,2025-08-04T17:36:11Z
19,Linha 1,Coluna 7,20,2025-08-04T17:14:23Z,2025-08-04T17:34:23Z
25,Linha 1,Coluna 9,20,2025-07-31T10:17:19Z,2025-07-31T10:37:19Z
27,Linha 3,Coluna 9,20,2025-08-04T17:15:11Z,2025-08-04T17:35:11Z
3,Linha 3,Coluna 1,15,2025-08-04T17:16:24Z,2025-08-04T17:31:24Z
