Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
22,Linha 1,Coluna 8,30.266666666666666,2025-12-18T19:49:48Z,2025-12-18T20:20:04Z
10,Linha 1,Coluna 4,30.1,2025-12-14T19:35:05Z,2025-12-14T20:05:11Z
11,Linha 2,Coluna 4,30.1,2025-12-15T18:36:52Z,2025-12-15T19:06:58Z
29,Linha 2,Coluna 10,30.1,2025-12-15T13:06:35Z,2025-12-15T13:36:41Z
30,Linha 3,Coluna 10,30.1,2025-12-12T21:46:19Z,2025-12-12T22:16:25Z
5,Linha 2,Coluna 2,30.083333333333332,2025-12-14T11:12:23Z,2025-12-14T11:42:28Z
6,Linha 3,Coluna 2,30.083333333333332,2025-12-12T16:49:56Z,2025-12-12T17:20:01Z
28,Linha 1,Coluna 10,30.083333333333332,2025-12-16T10:02:55Z,2025-12-16T10:33:00Z
27,Linha 3,Coluna 9,25,2025-12-17T08:42:17Z,2025-12-17T09:07:17Z
16,Linha 1,Coluna 6,20.466666666666665,2025-12-17T01:06:41Z,2025-12-17T01:27:09Z
24,Linha 3,Coluna 8,20.133333333333333,2025-12-19T22:25:39Z,2025-12-19T22:45:47Z
18,Linha 3,Coluna 6,20.116666666666667,2025-12-19T18:09:59Z,2025-12-19T18:30:06Z
17,Linha 2,Coluna 6,20.083333333333332,2025-12-13T22:10:52Z,2025-12-13T22:30:57Z
4,Linha 1,Coluna 2,20.066666666666666,2025-12-15T08:48:38Z,2025-12-15T09:08:42Z
12,Linha 3,Coluna 4,20.066666666666666,2025-12-16T13:09:07Z,2025-12-16T13:29:11Z
23,Linha 2,Coluna 8,20.066666666666666,2025-12-13T18:51:39Z,2025-12-13T19:11:43Z
20,Linha 2,Coluna 7,20.05,2025-12-17T05:27:48Z,2025-12-17T05:47:51Z
7,Linha 1,Coluna 3,20,2025-12-12T11:43:47Z,2025-12-12T12:03:47Z
14,Linha 2,Coluna 5,20,2025-12-16T18:17:50Z,2025-12-16T18:37:50Z
15,Linha 3,Coluna 5,20,2025-12-13T11:24:38Z,2025-12-13T11:44:38Z
25,Linha 1,Coluna 9,20,2025-12-15T18:12:23Z,2025-12-15T18:32:23Z
1,Linha 1,Coluna 1,15,2025-12-14T11:49:56Z,2025-12-14T12:04:56Z
2,Linha 2,Coluna 1,15,2025-12-17T23:02:17Z,2025-12-17T23:17:17Z
8,Linha 2,Coluna 3,15,2025-12-17T21:41:46Z,2025-12-17T21:56:46Z
13,Linha 1,Coluna 5,15,2025-12-13T11:51:41Z,2025-12-13T12:06:41Z
19,Linha 1,Coluna 7,15,2025-12-16T22:20:19Z,2025-12-16T22:35:19Z
21,Linha 3,Coluna 7,15,2025-12-16T15:49:09Z,2025-12-16T16:04:09Z
26,Linha 2,Coluna 9,14.983333333333333,2025-12-18T10:51:54Z,2025-12-18T11:06:53Z
9,Linha 3,Coluna 3,10.016666666666667,2025-12-20T02:01:32Z,2025-12-20T02:11:33Z
3,Linha 3,Coluna 1,10,2025-12-13T00:04:13Z,2025-12-13T00:14:13Z
