Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
29,Linha 2,Coluna 10,50.15,2025-12-05T18:23:39Z,2025-12-05T19:13:48Z
16,Linha 1,Coluna 6,30.65,2025-12-05T18:09:12Z,2025-12-05T18:39:51Z
5,Linha 2,Coluna 2,30.133333333333333,2025-12-11T01:37:47Z,2025-12-11T02:07:55Z
11,Linha 2,Coluna 4,30.1,2025-12-10T00:41:47Z,2025-12-10T01:11:53Z
6,Linha 3,Coluna 2,30.083333333333332,2025-12-09T10:25:56Z,2025-12-09T10:56:01Z
28,Linha 1,Coluna 10,30.083333333333332,2025-12-09T07:42:40Z,2025-12-09T08:12:45Z
18,Linha 3,Coluna 6,30.05,2025-12-10T20:31:38Z,2025-12-10T21:01:41Z
22,Linha 1,Coluna 8,20.25,2025-12-10T15:47:30Z,2025-12-10T16:07:45Z
4,Linha 1,Coluna 2,20.116666666666667,2025-12-07T08:14:02Z,2025-12-07T08:34:09Z
23,Linha 2,Coluna 8,20.116666666666667,2025-12-10T16:28:29Z,2025-12-10T16:48:36Z
24,Linha 3,Coluna 8,20.116666666666667,2025-12-10T18:35:55Z,2025-12-10T18:56:02Z
30,Linha 3,Coluna 10,20.1,2025-12-10T15:46:34Z,2025-12-10T16:06:40Z
10,Linha 1,Coluna 4,20.083333333333332,2025-12-10T15:06:57Z,2025-12-10T15:27:02Z
17,Linha 2,Coluna 6,20.083333333333332,2025-12-08T03:45:36Z,2025-12-08T04:05:41Z
12,Linha 3,Coluna 4,20.066666666666666,2025-12-05T19:13:28Z,2025-12-05T19:33:32Z
14,Linha 2,Coluna 5,20,2025-12-06T16:48:20Z,2025-12-06T17:08:20Z
25,Linha 1,Coluna 9,20,2025-12-07T15:07:36Z,2025-12-07T15:27:36Z
27,Linha 3,Coluna 9,20,2025-12-09T07:17:27Z,2025-12-09T07:37:27Z
7,Linha 1,Coluna 3,15,2025-12-10T15:33:48Z,2025-12-10T15:48:48Z
8,Linha 2,Coluna 3,15,2025-12-08T06:11:58Z,2025-12-08T06:26:58Z
13,Linha 1,Coluna 5,15,2025-12-06T08:46:51Z,2025-12-06T09:01:51Z
19,Linha 1,Coluna 7,15,2025-12-08T13:55:35Z,2025-12-08T14:10:35Z
20,Linha 2,Coluna 7,15,2025-12-07T10:28:03Z,2025-12-07T10:43:03Z
21,Linha 3,Coluna 7,15,2025-12-07T16:09:29Z,2025-12-07T16:24:29Z
26,Linha 2,Coluna 9,10.083333333333334,2025-12-07T21:27:14Z,2025-12-07T21:37:19Z
1,Linha 1,Coluna 1,10.033333333333333,2025-12-10T23:40:03Z,2025-12-10T23:50:05Z
9,Linha 3,Coluna 3,10.016666666666667,2025-12-11T08:26:45Z,2025-12-11T08:36:46Z
2,Linha 2,Coluna 1,10,2025-12-05T05:12:35Z,2025-12-05T05:22:35Z
3,Linha 3,Coluna 1,10,2025-12-05T08:24:22Z,2025-12-05T08:34:22Z
15,Linha 3,Coluna 5,10,2025-12-05T04:00:02Z,2025-12-05T04:10:02Z
