dia,sensor,lote,temp_d,temp_f,umid_d,umid_f
42,s13,III,0,286,0,286
1,s14,III,54,197,88,163
2,s14,III,40,245,201,84
3,s14,III,82,202,117,167
4,s14,III,48,239,167,120
5,s14,III,48,240,115,173
6,s14,III,59,219,151,127
7,s14,III,82,203,103,182
8,s14,III,74,209,119,164
9,s14,III,43,244,140,147
10,s14,III,111,177,67,221
11,s14,III,116,172,50,238
12,s14,III,105,180,126,159
13,s14,III,60,221,121,160
14,s14,III,58,221,63,216
15,s14,III,132,152,0,284
16,s14,III,106,176,0,282
17,s14,III,76,205,0,281
18,s14,III,118,159,20,257
19,s14,III,73,206,81,198
20,s14,III,180,103,0,283
21,s14,III,176,109,0,285
22,s14,III,231,48,0,279
23,s14,III,169,117,0,286
24,s14,III,173,98,0,271
25,s14,III,120,154,0,274
26,s14,III,45,237,0,282
27,s14,III,88,197,0,285
28,s14,III,43,237,0,280
29,s14,III,0,283,0,283
30,s14,III,0,282,0,282
31,s14,III,0,281,0,281
32,s14,III,11,259,0,270
33,s14,III,0,279,0,279
34,s14,III,0,281,0,281
35,s14,III,2,279,0,281
36,s14,III,0,278,0,278
37,s14,III,14,266,0,280
38,s14,III,43,238,0,281
39,s14,III,0,281,0,281
40,s14,III,0,281,0,281
41,s14,III,0,284,0,284
42,s14,III,42,239,0,281
1,s15,III,54,195,74,175
2,s15,III,95,189,190,94
3,s15,III,81,206,129,158
4,s15,III,90,197,141,146
5,s15,III,92,194,101,185
6,s15,III,97,188,140,145
7,s15,III,114,173,135,152
8,s15,III,50,234,119,165
9,s15,III,97,188,139,146
10,s15,III,89,196,72,213
11,s15,III,45,241,40,246
12,s15,III,57,229,128,158
13,s15,III,103,182,85,200
14,s15,III,116,172,147,141
15,s15,III,135,150,9,276
16,s15,III,93,195,0,288
17,s15,III,83,204,0,287
18,s15,III,71,227,43,255
19,s15,III,48,237,88,197
20,s15,III,150,136,0,286
21,s15,III,173,109,0,282
22,s15,III,213,70,0,283
23,s15,III,173,111,0,284
24,s15,III,148,135,0,283
25,s15,III,97,186,0,283
26,s15,III,70,214,0,284
27,s15,III,79,205,0,284
28,s15,III,0,285,0,285
29,s15,III,0,285,0,285
30,s15,III,0,284,0,284
31,s15,III,0,281,0,281
32,s15,III,0,274,0,274
33,s15,III,0,282,0,282
34,s15,III,0,281,0,281
35,s15,III,0,286,0,286
36,s15,III,0,282,0,282
37,s15,III,0,284,0,284
38,s15,III,0,282,0,282
39,s15,III,0,279,0,279
40,s15,III,0,283,0,283
41,s15,III,0,286,0,286
42,s15,III,0,281,0,281
1,s16,III,41,80,41,80
2,s16,III,36,103,101,38
3,s16,III,48,90,59,79
4,s16,III,31,107,69,69
5,s16,III,23,113,54,82
6,s16,III,43,96,70,69
7,s16,III,15,121,48,88
8,s16,III,70,68,62,76
9,s16,III,31,106,80,57
10,s16,III,50,89,31,108
11,s16,III,28,111,30,109
12,s16,III,56,83,67,72
13,s16,III,39,99,39,99
14,s16,III,40,98,21,117
15,s16,III,74,63,0,137
16,s16,III,61,79,0,140
17,s16,III,43,97,0,140
18,s16,III,31,108,9,130
19,s16,III,17,121,42,96
20,s16,III,110,28,0,138
21,s16,III,82,59,0,141
22,s16,III,118,22,0,140
23,s16,III,68,72,0,140
24,s16,III,89,51,0,140
25,s16,III,45,94,0,139
26,s16,III,29,110,0,139
27,s16,III,43,97,0,140
28,s16,III,0,138,0,138
29,s16,III,0,136,0,136
30,s16,III,0,138,0,138
31,s16,III,0,136,0,136
32,s16,III,0,137,0,137
33,s16,III,0,140,0,140
34,s16,III,0,139,0,139
35,s16,III,0,141,0,141
36,s16,III,0,137,0,137
37,s16,III,0,139,0,139
38,s16,III,0,140,0,140
39,s16,III,0,137,0,137
40,s16,III,0,140,0,140
41,s16,III,0,140,0,140
42,s16,III,0,139,0,139
1,s17,III,34,89,40,83
2,s17,III,37,106,100,43
3,s17,III,38,104,56,86
4,s17,III,35,101,71,65
5,s17,III,38,105,60,83
6,s17,III,45,97,70,72
7,s17,III,48,96,70,74
8,s17,III,37,105,56,86
9,s17,III,29,115,67,77
10,s17,III,58,85,37,106
11,s17,III,27,114,22,119
12,s17,III,51,88,60,79
13,s17,III,41,103,61,83
14,s17,III,41,100,33,108
15,s17,III,61,83,0,144
16,s17,III,49,93,0,142
17,s17,III,41,101,0,142
18,s17,III,56,83,13,126
19,s17,III,34,109,43,100
20,s17,III,96,45,0,141
21,s17,III,85,56,0,141
22,s17,III,113,28,0,141
23,s17,III,73,69,0,142
24,s17,III,89,51,0,140
25,s17,III,53,91,0,144
26,s17,III,22,120,0,142
27,s17,III,45,110,0,155
28,s17,III,15,141,0,156
29,s17,III,0,143,0,143
30,s17,III,0,141,0,141
31,s17,III,0,142,0,142
32,s17,III,0,140,0,140
33,s17,III,0,141,0,141
34,s17,III,0,141,0,141
35,s17,III,0,141,0,141
36,s17,III,0,143,0,143
37,s17,III,0,140,0,140
38,s17,III,14,127,0,141
39,s17,III,0,141,0,141
40,s17,III,0,141,0,141
41,s17,III,0,142,0,142
42,s17,III,15,127,0,142
1,s18,III,29,93,40,82
2,s18,III,46,95,99,42
3,s18,III,38,105,43,100
4,s18,III,39,104,62,81
5,s18,III,44,98,54,88
6,s18,III,45,95,71,69
7,s18,III,55,88,73,70
8,s18,III,20,122,58,84
9,s18,III,27,113,67,73
10,s18,III,49,90,32,107
11,s18,III,24,113,22,115
12,s18,III,27,95,56,66
13,s18,III,40,98,49,89
14,s18,III,54,86,66,74
15,s18,III,61,79,3,137
16,s18,III,40,100,0,140
17,s18,III,42,98,0,140
18,s18,III,34,109,15,128
19,s18,III,27,114,44,97
20,s18,III,91,48,0,139
21,s18,III,90,51,0,141
22,s18,III,119,23,0,142
23,s18,III,52,85,0,137
24,s18,III,85,57,0,142
25,s18,III,46,91,0,137
26,s18,III,24,117,0,141
27,s18,III,53,84,0,137
28,s18,III,0,139,0,139
29,s18,III,0,139,0,139
30,s18,III,0,134,0,134
31,s18,III,0,140,0,140
32,s18,III,0,135,0,135
33,s18,III,0,128,0,128
34,s18,III,0,135,0,135
35,s18,III,0,137,0,137
36,s18,III,0,134,0,134
37,s18,III,0,140,0,140
38,s18,III,0,140,0,140
39,s18,III,0,141,0,141
40,s18,III,0,141,0,141
41,s18,III,0,139,0,139
42,s18,III,0,140,0,140
1,s19,III,78,170,91,157
2,s19,III,77,208,199,86
3,s19,III,102,186,121,167
4,s19,III,81,206,158,129
5,s19,III,78,207,131,154
6,s19,III,95,193,140,148
7,s19,III,68,220,75,213
8,s19,III,134,151,129,156
9,s19,III,72,214,168,118
10,s19,III,93,194,63,224
11,s19,III,49,238,79,208
12,s19,III,115,171,136,150
13,s19,III,86,201,76,211
14,s19,III,81,207,36,252
15,s19,III,129,157,0,286
16,s19,III,137,149,0,286
17,s19,III,73,215,0,288
18,s19,III,58,229,10,277
19,s19,III,36,249,78,207
20,s19,III,196,89,0,285
21,s19,III,160,126,0,286
22,s19,III,234,54,0,288
23,s19,III,116,170,0,286
24,s19,III,168,117,0,285
25,s19,III,95,187,0,282
26,s19,III,55,232,0,287
27,s19,III,88,193,0,281
28,s19,III,0,277,0,277
29,s19,III,0,284,0,284
30,s19,III,0,282,0,282
31,s19,III,0,284,0,284
32,s19,III,0,279,0,279
33,s19,III,0,285,0,285
34,s19,III,0,285,0,285
35,s19,III,0,287,0,287
36,s19,III,0,279,0,279
37,s19,III,0,283,0,283
38,s19,III,0,286,0,286
39,s19,III,0,287,0,287
40,s19,III,0,284,0,284
41,s19,III,0,286,0,286
42,s19,III,0,283,0,283
1,s2,III,26,223,76,173
2,s2,III,0,288,146,142
3,s2,III,0,288,57,231
4,s2,III,0,287,140,147
5,s2,III,1,285,98,188
6,s2,III,42,245,126,161
7,s2,III,5,280,123,162
8,s2,III,133,154,92,195
9,s2,III,35,251,113,173
10,s2,III,84,204,80,208
11,s2,III,84,203,18,269
12,s2,III,92,194,84,202
13,s2,III,52,235,89,198
14,s2,III,53,231,146,138
15,s2,III,136,151,25,262
16,s2,III,95,192,0,287
17,s2,III,48,238,0,286
18,s2,III,108,180,77,211
19,s2,III,73,213,82,204
20,s2,III,169,117,0,286
21,s2,III,122,164,0,286
22,s2,III,138,150,0,288
23,s2,III,79,207,0,286
24,s2,III,132,154,0,286
25,s2,III,130,153,0,283
26,s2,III,42,242,0,284
27,s2,III,70,217,0,287
28,s2,III,62,224,0,286
29,s2,III,0,283,0,283
30,s2,III,0,283,0,283
31,s2,III,0,236,0,236
32,s2,III,0,270,0,270
33,s2,III,0,282,0,282
34,s2,III,0,285,0,285
35,s2,III,0,288,0,288
36,s2,III,0,288,0,288
37,s2,III,14,273,0,287
38,s2,III,38,249,0,287
39,s2,III,0,285,0,285
40,s2,III,0,286,0,286
41,s2,III,0,286,0,286
42,s2,III,56,230,0,286
1,s20,III,62,183,85,160
2,s20,III,42,238,153,127
3,s20,III,88,191,87,192
4,s20,III,78,194,150,122
5,s20,III,86,196,110,172
6,s20,III,97,189,149,137
7,s20,III,105,180,88,197
8,s20,III,67,214,120,161
9,s20,III,42,243,145,140
10,s20,III,98,187,71,214
11,s20,III,49,234,46,237
12,s20,III,88,197,122,163
13,s20,III,74,212,121,165
14,s20,III,76,208,59,225
15,s20,III,124,160,0,284
16,s20,III,104,180,0,284
17,s20,III,73,207,0,280
18,s20,III,113,167,10,270
19,s20,III,63,215,78,200
20,s20,III,193,90,0,283
21,s20,III,171,112,0,283
22,s20,III,222,57,0,279
23,s20,III,133,142,0,275
24,s20,III,179,85,0,264
25,s20,III,99,168,0,267
26,s20,III,38,225,0,263
27,s20,III,84,185,0,269
28,s20,III,31,255,0,286
29,s20,III,0,284,0,284
30,s20,III,0,279,0,279
31,s20,III,0,284,0,284
32,s20,III,0,279,0,279
33,s20,III,0,281,0,281
34,s20,III,0,285,0,285
35,s20,III,0,283,0,283
36,s20,III,0,287,0,287
37,s20,III,0,282,0,282
38,s20,III,26,261,0,287
39,s20,III,0,285,0,285
40,s20,III,0,286,0,286
41,s20,III,0,283,0,283
42,s20,III,4,282,0,286
1,s21,III,57,192,75,174
2,s21,III,89,196,185,100
3,s21,III,92,194,121,165
4,s21,III,76,207,145,138
5,s21,III,82,202,124,160
6,s21,III,97,189,145,141
7,s21,III,114,173,74,213
8,s21,III,43,240,128,155
9,s21,III,62,225,153,134
10,s21,III,84,203,64,223
11,s21,III,44,235,50,229
12,s21,III,41,219,99,161
13,s21,III,89,193,104,178
14,s21,III,115,172,138,149
15,s21,III,126,156,1,281
16,s21,III,92,196,0,288
17,s21,III,80,207,0,287
18,s21,III,55,229,19,265
19,s21,III,51,233,81,203
20,s21,III,181,105,0,286
21,s21,III,167,117,0,284
22,s21,III,231,56,0,287
23,s21,III,118,164,0,282
24,s21,III,175,109,0,284
25,s21,III,95,188,0,283
26,s21,III,45,242,0,287
27,s21,III,96,188,0,284
28,s21,III,0,284,0,284
29,s21,III,0,283,0,283
30,s21,III,0,282,0,282
31,s21,III,0,286,0,286
32,s21,III,0,277,0,277
33,s21,III,0,283,0,283
34,s21,III,0,284,0,284
35,s21,III,0,284,0,284
36,s21,III,0,284,0,284
37,s21,III,0,315,0,315
38,s21,III,0,526,0,526
39,s21,III,0,337,0,337
40,s21,III,0,283,0,283
41,s21,III,0,286,0,286
42,s21,III,0,286,0,286
1,s22,III,34,88,30,92
2,s22,III,40,100,95,45
3,s22,III,39,103,53,89
4,s22,III,43,100,72,71
5,s22,III,33,108,54,87
6,s22,III,49,93,68,74
7,s22,III,20,123,76,67
8,s22,III,73,68,63,78
9,s22,III,32,109,82,59
10,s22,III,49,91,46,94
11,s22,III,27,114,23,118
12,s22,III,56,86,68,74
13,s22,III,43,98,50,91
14,s22,III,41,98,25,114
15,s22,III,70,72,0,142
16,s22,III,63,76,0,139
17,s22,III,44,97,0,141
18,s22,III,32,109,15,126
19,s22,III,22,117,45,94
20,s22,III,101,41,0,142
21,s22,III,81,60,0,141
22,s22,III,111,30,0,141
23,s22,III,65,75,0,140
24,s22,III,89,54,0,143
25,s22,III,50,90,0,140
26,s22,III,26,114,0,140
27,s22,III,34,107,0,141
28,s22,III,0,139,0,139
29,s22,III,0,138,0,138
30,s22,III,0,130,0,130
31,s22,III,0,139,0,139
32,s22,III,0,139,0,139
33,s22,III,0,138,0,138
34,s22,III,0,141,0,141
35,s22,III,0,140,0,140
36,s22,III,0,140,0,140
37,s22,III,0,139,0,139
38,s22,III,0,140,0,140
39,s22,III,0,140,0,140
40,s22,III,0,141,0,141
41,s22,III,0,141,0,141
42,s22,III,0,141,0,141
1,s23,III,29,95,30,94
2,s23,III,36,105,92,49
3,s23,III,28,115,48,95
4,s23,III,46,95,70,71
5,s23,III,44,99,49,94
6,s23,III,48,96,64,80
7,s23,III,56,85,66,75
8,s23,III,36,107,52,91
9,s23,III,28,115,64,79
10,s23,III,49,95,58,86
11,s23,III,22,118,17,123
12,s23,III,42,101,66,77
13,s23,III,43,99,57,85
14,s23,III,41,101,60,82
15,s23,III,72,72,0,144
16,s23,III,53,87,0,140
17,s23,III,42,100,0,142
18,s23,III,47,94,19,122
19,s23,III,24,117,44,97
20,s23,III,93,49,0,142
21,s23,III,81,60,0,141
22,s23,III,98,45,0,143
23,s23,III,62,81,0,143
24,s23,III,95,48,0,143
25,s23,III,44,99,0,143
26,s23,III,25,118,0,143
27,s23,III,47,95,0,142
28,s23,III,13,127,0,140
29,s23,III,0,139,0,139
30,s23,III,0,141,0,141
31,s23,III,0,143,0,143
32,s23,III,0,140,0,140
33,s23,III,0,139,0,139
34,s23,III,0,139,0,139
35,s23,III,0,141,0,141
36,s23,III,0,140,0,140
37,s23,III,0,143,0,143
38,s23,III,3,139,0,142
39,s23,III,0,141,0,141
40,s23,III,0,141,0,141
41,s23,III,0,142,0,142
42,s23,III,2,139,0,141
1,s24,III,23,99,30,92
2,s24,III,36,106,77,65
3,s24,III,24,116,46,94
4,s24,III,40,103,70,73
5,s24,III,48,94,56,86
6,s24,III,49,94,70,73
7,s24,III,57,87,74,70
8,s24,III,24,119,64,79
9,s24,III,34,107,81,60
10,s24,III,47,96,35,108
11,s24,III,23,120,22,121
12,s24,III,25,118,54,89
13,s24,III,41,100,52,89
14,s24,III,54,89,70,73
15,s24,III,66,76,2,140
16,s24,III,45,98,0,143
17,s24,III,45,97,0,142
18,s24,III,32,113,17,128
19,s24,III,22,117,42,97
20,s24,III,103,42,0,145
21,s24,III,100,41,0,141
22,s24,III,119,23,0,142
23,s24,III,62,81,0,143
24,s24,III,91,50,0,141
25,s24,III,47,96,0,143
26,s24,III,29,112,0,141
27,s24,III,35,106,0,141
28,s24,III,0,142,0,142
29,s24,III,0,144,0,144
30,s24,III,0,140,0,140
31,s24,III,0,142,0,142
32,s24,III,0,141,0,141
33,s24,III,0,139,0,139
34,s24,III,0,144,0,144
35,s24,III,0,142,0,142
36,s24,III,0,143,0,143
37,s24,III,0,142,0,142
38,s24,III,0,141,0,141
39,s24,III,0,144,0,144
40,s24,III,0,141,0,141
41,s24,III,0,143,0,143
42,s24,III,0,143,0,143
1,s25,III,49,201,58,192
2,s25,III,86,203,108,181
3,s25,III,58,227,64,221
4,s25,III,90,197,133,154
5,s25,III,85,200,116,169
6,s25,III,95,191,141,145
7,s25,III,75,211,65,221
8,s25,III,127,161,124,164
9,s25,III,78,210,174,114
10,s25,III,98,186,98,186
11,s25,III,51,236,47,240
12,s25,III,113,172,128,157
13,s25,III,87,199,117,169
14,s25,III,87,197,51,233
15,s25,III,131,145,0,276
16,s25,III,107,174,0,281
17,s25,III,61,217,0,278
18,s25,III,54,229,28,255
19,s25,III,35,245,95,185
20,s25,III,183,95,0,278
21,s25,III,151,125,0,276
22,s25,III,225,50,0,275
23,s25,III,139,136,0,275
24,s25,III,140,128,0,268
25,s25,III,99,173,0,272
26,s25,III,58,217,0,275
27,s25,III,78,191,0,269
28,s25,III,0,250,0,250
29,s25,III,0,250,0,250
30,s25,III,0,271,0,271
31,s25,III,0,270,0,270
32,s25,III,0,274,0,274
33,s25,III,0,283,0,283
34,s25,III,0,276,0,276
35,s25,III,0,269,0,269
36,s25,III,0,275,0,275
37,s25,III,0,271,0,271
38,s25,III,0,248,0,248
39,s25,III,0,282,0,282
40,s25,III,0,269,0,269
41,s25,III,0,278,0,278
42,s25,III,0,260,0,260
1,s26,III,51,194,60,185
2,s26,III,70,213,104,179
3,s26,III,49,231,45,235
4,s26,III,77,203,140,140
5,s26,III,90,190,112,168
6,s26,III,99,188,134,153
7,s26,III,108,178,125,161
8,s26,III,64,218,117,165
9,s26,III,61,224,127,158
10,s26,III,101,185,100,186
11,s26,III,44,243,37,250
12,s26,III,75,207,105,177
13,s26,III,85,200,125,160
14,s26,III,84,200,93,191
15,s26,III,145,138,0,283
16,s26,III,97,190,0,287
17,s26,III,85,199,0,284
18,s26,III,81,204,28,257
19,s26,III,44,241,95,190
20,s26,III,183,104,0,287
21,s26,III,163,124,0,287
22,s26,III,212,71,0,283
23,s26,III,144,141,0,285
24,s26,III,216,80,0,296
25,s26,III,94,191,0,285
26,s26,III,54,232,0,286
27,s26,III,94,191,0,285
28,s26,III,21,263,0,284
29,s26,III,0,285,0,285
30,s26,III,0,284,0,284
31,s26,III,0,288,0,288
32,s26,III,0,276,0,276
33,s26,III,0,287,0,287
34,s26,III,0,283,0,283
35,s26,III,0,282,0,282
36,s26,III,0,280,0,280
37,s26,III,0,280,0,280
38,s26,III,5,280,0,285
39,s26,III,0,288,0,288
40,s26,III,0,277,0,277
41,s26,III,0,285,0,285
42,s26,III,0,284,0,284
1,s27,III,31,180,57,154
2,s27,III,60,226,141,145
3,s27,III,42,245,80,207
4,s27,III,60,224,135,149
5,s27,III,82,204,109,177
6,s27,III,97,190,135,152
7,s27,III,111,173,113,171
8,s27,III,40,244,121,163
9,s27,III,120,167,139,148
10,s27,III,94,192,86,200
11,s27,III,45,241,42,244
12,s27,III,45,238,112,171
13,s27,III,82,199,96,185
14,s27,III,113,164,143,134
15,s27,III,125,155,9,271
16,s27,III,79,202,0,281
17,s27,III,77,198,0,275
18,s27,III,65,216,34,247
19,s27,III,48,236,93,191
20,s27,III,179,102,0,281
21,s27,III,160,114,0,274
22,s27,III,210,67,0,277
23,s27,III,161,113,0,274
24,s27,III,133,147,0,280
25,s27,III,92,187,0,279
26,s27,III,73,211,0,284
27,s27,III,68,208,0,276
28,s27,III,0,276,0,276
29,s27,III,0,282,0,282
30,s27,III,0,273,0,273
31,s27,III,0,283,0,283
32,s27,III,0,272,0,272
33,s27,III,0,271,0,271
34,s27,III,0,278,0,278
35,s27,III,0,277,0,277
36,s27,III,0,269,0,269
37,s27,III,0,275,0,275
38,s27,III,0,276,0,276
39,s27,III,0,277,0,277
40,s27,III,0,283,0,283
41,s27,III,0,276,0,276
42,s27,III,0,279,0,279
1,s28,III,27,96,30,93
2,s28,III,45,98,79,64
3,s28,III,32,110,47,95
4,s28,III,44,99,71,72
5,s28,III,42,100,54,88
6,s28,III,46,96,70,72
7,s28,III,39,102,44,97
8,s28,III,65,78,60,83
9,s28,III,30,110,72,68
10,s28,III,44,96,56,84
11,s28,III,23,118,20,121
12,s28,III,57,85,60,82
13,s28,III,41,101,62,80
14,s28,III,43,99,27,115
15,s28,III,80,59,0,139
16,s28,III,58,82,0,140
17,s28,III,32,110,0,142
18,s28,III,30,113,14,129
19,s28,III,19,121,47,93
20,s28,III,102,39,0,141
21,s28,III,90,52,0,142
22,s28,III,111,32,0,143
23,s28,III,68,73,0,141
24,s28,III,52,87,0,139
25,s28,III,49,92,0,141
26,s28,III,36,105,0,141
27,s28,III,31,109,0,140
28,s28,III,0,139,0,139
29,s28,III,0,142,0,142
30,s28,III,0,134,0,134
31,s28,III,0,142,0,142
32,s28,III,0,139,0,139
33,s28,III,0,141,0,141
34,s28,III,0,141,0,141
35,s28,III,0,139,0,139
36,s28,III,0,140,0,140
37,s28,III,0,139,0,139
38,s28,III,0,141,0,141
39,s28,III,0,139,0,139
40,s28,III,0,141,0,141
41,s28,III,0,139,0,139
42,s28,III,0,131,0,131
1,s29,III,19,101,28,92
2,s29,III,35,108,82,61
3,s29,III,22,121,44,99
4,s29,III,33,110,73,70
5,s29,III,35,107,50,92
6,s29,III,41,99,64,76
7,s29,III,58,84,66,76
8,s29,III,28,110,57,81
9,s29,III,27,116,65,78
10,s29,III,48,92,54,86
11,s29,III,22,119,18,123
12,s29,III,31,100,60,71
13,s29,III,41,83,44,80
14,s29,III,49,88,58,79
15,s29,III,75,67,0,142
16,s29,III,57,84,0,141
17,s29,III,41,98,0,139
18,s29,III,36,105,27,114
19,s29,III,22,118,44,96
20,s29,III,90,52,0,142
21,s29,III,82,60,0,142
22,s29,III,98,44,0,142
23,s29,III,67,70,0,137
24,s29,III,98,43,0,141
25,s29,III,44,98,0,142
26,s29,III,26,115,0,141
27,s29,III,48,89,0,137
28,s29,III,0,140,0,140
29,s29,III,0,140,0,140
30,s29,III,0,139,0,139
31,s29,III,0,140,0,140
32,s29,III,0,138,0,138
33,s29,III,0,142,0,142
34,s29,III,0,142,0,142
35,s29,III,0,142,0,142
36,s29,III,0,140,0,140
37,s29,III,0,138,0,138
38,s29,III,0,142,0,142
39,s29,III,0,139,0,139
40,s29,III,0,139,0,139
41,s29,III,0,141,0,141
42,s29,III,0,145,0,145
1,s3,III,44,419,94,369
2,s3,III,0,525,164,361
3,s3,III,0,528,67,461
4,s3,III,8,523,231,300
5,s3,III,59,472,145,386
