dia,sensor,lote,temp_d,temp_f,umid_d,umid_f
1,s1,III,29,220,92,157
2,s1,III,0,286,88,198
3,s1,III,0,286,28,258
4,s1,III,0,287,126,161
5,s1,III,0,288,98,190
6,s1,III,44,244,130,158
7,s1,III,2,286,104,184
8,s1,III,74,214,139,149
9,s1,III,37,250,118,169
10,s1,III,100,188,82,206
11,s1,III,84,204,16,272
12,s1,III,78,209,111,176
13,s1,III,110,177,94,193
14,s1,III,153,134,88,199
15,s1,III,195,91,14,272
16,s1,III,137,151,0,288
17,s1,III,89,195,0,284
18,s1,III,128,156,74,210
19,s1,III,85,204,82,207
20,s1,III,231,55,0,286
21,s1,III,151,134,0,285
22,s1,III,204,71,0,275
23,s1,III,169,108,0,277
24,s1,III,208,76,0,284
25,s1,III,190,97,0,287
26,s1,III,64,220,2,282
27,s1,III,109,176,0,285
28,s1,III,26,260,0,286
29,s1,III,0,283,0,283
30,s1,III,0,283,0,283
31,s1,III,0,287,0,287
32,s1,III,0,279,0,279
33,s1,III,0,285,0,285
34,s1,III,0,284,0,284
35,s1,III,18,262,0,280
36,s1,III,0,248,0,248
37,s1,III,42,210,0,252
38,s1,III,89,167,0,256
39,s1,III,0,261,0,261
40,s1,III,8,232,0,240
41,s1,III,29,250,0,279
42,s1,III,86,173,0,259
1,s10,III,40,85,47,78
2,s10,III,30,113,66,77
3,s10,III,43,99,60,82
4,s10,III,10,132,39,103
5,s10,III,2,139,34,107
6,s10,III,32,111,68,75
7,s10,III,7,133,66,74
8,s10,III,76,67,55,88
9,s10,III,28,112,65,75
10,s10,III,49,92,33,108
11,s10,III,31,108,26,113
12,s10,III,53,87,67,73
13,s10,III,36,107,55,88
14,s10,III,35,108,26,117
15,s10,III,73,70,0,143
16,s10,III,72,70,0,142
17,s10,III,38,102,0,140
18,s10,III,32,112,18,126
19,s10,III,28,110,43,95
20,s10,III,99,42,0,141
21,s10,III,85,57,0,142
22,s10,III,108,32,0,140
23,s10,III,66,75,0,141
24,s10,III,77,63,0,140
25,s10,III,43,99,0,142
26,s10,III,18,124,0,142
27,s10,III,50,92,0,142
28,s10,III,0,141,0,141
29,s10,III,0,144,0,144
30,s10,III,0,141,0,141
31,s10,III,0,142,0,142
32,s10,III,0,143,0,143
33,s10,III,0,140,0,140
34,s10,III,0,142,0,142
35,s10,III,0,141,0,141
36,s10,III,0,141,0,141
37,s10,III,0,143,0,143
38,s10,III,0,141,0,141
39,s10,III,0,141,0,141
40,s10,III,0,141,0,141
41,s10,III,0,142,0,142
42,s10,III,10,132,0,142
1,s11,III,43,81,43,81
2,s11,III,35,108,74,69
3,s11,III,49,92,58,83
4,s11,III,37,101,47,91
5,s11,III,37,108,43,102
6,s11,III,39,103,65,77
7,s11,III,39,101,67,73
8,s11,III,31,110,35,106
9,s11,III,28,113,59,82
10,s11,III,56,82,45,93
11,s11,III,35,107,17,125
12,s11,III,47,94,50,91
13,s11,III,30,110,56,84
14,s11,III,36,105,58,83
15,s11,III,64,73,2,135
16,s11,III,55,85,0,140
17,s11,III,39,101,0,140
18,s11,III,53,88,25,116
19,s11,III,36,108,43,101
20,s11,III,90,52,0,142
21,s11,III,63,79,0,142
22,s11,III,111,30,0,141
23,s11,III,63,76,0,139
24,s11,III,86,51,0,137
25,s11,III,53,88,0,141
26,s11,III,18,120,0,138
27,s11,III,47,99,0,146
28,s11,III,20,120,0,140
29,s11,III,0,142,0,142
30,s11,III,0,140,0,140
31,s11,III,0,141,0,141
32,s11,III,0,141,0,141
33,s11,III,0,140,0,140
34,s11,III,0,143,0,143
35,s11,III,0,140,0,140
36,s11,III,0,143,0,143
37,s11,III,3,138,0,141
38,s11,III,24,118,0,142
39,s11,III,0,143,0,143
40,s11,III,0,142,0,142
41,s11,III,0,143,0,143
42,s11,III,19,123,0,142
1,s12,III,35,88,44,79
2,s12,III,41,102,42,101
3,s12,III,50,92,51,91
4,s12,III,39,105,38,106
5,s12,III,46,95,20,121
6,s12,III,43,101,63,81
7,s12,III,55,87,71,71
8,s12,III,70,72,23,119
9,s12,III,39,103,62,80
10,s12,III,53,89,43,99
11,s12,III,49,94,19,124
12,s12,III,33,108,65,76
13,s12,III,47,95,45,97
14,s12,III,53,89,79,63
15,s12,III,71,111,8,174
16,s12,III,48,151,0,199
17,s12,III,42,101,0,143
18,s12,III,30,112,18,124
19,s12,III,29,114,44,99
20,s12,III,94,49,0,143
21,s12,III,84,60,0,144
22,s12,III,112,31,0,143
23,s12,III,61,83,0,144
24,s12,III,84,58,0,142
25,s12,III,44,100,0,144
26,s12,III,22,121,0,143
27,s12,III,48,93,0,141
28,s12,III,0,144,0,144
29,s12,III,0,143,0,143
30,s12,III,0,139,0,139
31,s12,III,0,142,0,142
32,s12,III,0,142,0,142
33,s12,III,0,144,0,144
34,s12,III,0,141,0,141
35,s12,III,0,144,0,144
36,s12,III,0,140,0,140
37,s12,III,0,142,0,142
38,s12,III,0,142,0,142
39,s12,III,0,142,0,142
40,s12,III,0,144,0,144
41,s12,III,0,143,0,143
42,s12,III,0,143,0,143
1,s13,III,83,161,81,163
2,s13,III,73,210,188,95
3,s13,III,95,187,115,167
4,s13,III,67,216,142,141
5,s13,III,48,232,104,176
6,s13,III,92,189,139,142
7,s13,III,35,246,118,163
8,s13,III,145,137,121,161
9,s13,III,61,218,148,131
10,s13,III,103,177,66,214
11,s13,III,56,231,53,234
12,s13,III,111,174,129,156
13,s13,III,86,201,106,181
14,s13,III,80,203,53,230
15,s13,III,139,144,0,283
16,s13,III,131,154,0,285
17,s13,III,87,200,0,287
18,s13,III,60,226,37,249
19,s13,III,53,235,94,194
20,s13,III,211,77,0,288
21,s13,III,158,127,0,285
22,s13,III,228,58,0,286
23,s13,III,132,153,0,285
24,s13,III,158,126,0,284
25,s13,III,94,189,0,283
26,s13,III,54,232,0,286
27,s13,III,84,198,0,282
28,s13,III,0,286,0,286
29,s13,III,0,282,0,282
30,s13,III,0,272,0,272
31,s13,III,0,270,0,270
32,s13,III,0,278,0,278
33,s13,III,0,288,0,288
34,s13,III,0,284,0,284
35,s13,III,0,287,0,287
36,s13,III,0,283,0,283
37,s13,III,0,286,0,286
38,s13,III,0,288,0,288
39,s13,III,0,286,0,286
40,s13,III,0,286,0,286
41,s13,III,0,286,0,286
