Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
18,Linha 3,Coluna 6,100.3,2025-12-04T05:32:56Z,2025-12-04T07:13:14Z
29,Linha 2,Coluna 10,40.11666666666667,2025-12-04T15:18:42Z,2025-12-04T15:58:49Z
16,Linha 1,Coluna 6,30.666666666666668,2025-12-02T05:51:05Z,2025-12-02T06:21:45Z
10,Linha 1,Coluna 4,30.1,2025-12-04T16:31:14Z,2025-12-04T17:01:20Z
28,Linha 1,Coluna 10,30.1,2025-12-01T15:19:59Z,2025-12-01T15:50:05Z
6,Linha 3,Coluna 2,30.083333333333332,2025-12-04T23:26:52Z,2025-12-04T23:56:57Z
11,Linha 2,Coluna 4,30.083333333333332,2025-12-02T23:21:04Z,2025-12-02T23:51:09Z
17,Linha 2,Coluna 6,30.083333333333332,2025-12-03T19:06:29Z,2025-12-03T19:36:34Z
22,Linha 1,Coluna 8,20.183333333333334,2025-11-30T10:09:18Z,2025-11-30T10:29:29Z
4,Linha 1,Coluna 2,20.066666666666666,2025-11-30T20:46:04Z,2025-11-30T21:06:08Z
5,Linha 2,Coluna 2,20.066666666666666,2025-12-01T22:08:29Z,2025-12-01T22:28:33Z
12,Linha 3,Coluna 4,20.066666666666666,2025-11-30T03:39:32Z,2025-11-30T03:59:36Z
23,Linha 2,Coluna 8,20.066666666666666,2025-12-03T06:57:07Z,2025-12-03T07:17:11Z
24,Linha 3,Coluna 8,20.066666666666666,2025-12-01T14:36:09Z,2025-12-01T14:56:13Z
30,Linha 3,Coluna 10,20.066666666666666,2025-11-30T19:43:52Z,2025-11-30T20:03:56Z
3,Linha 3,Coluna 1,20,2025-12-03T21:54:24Z,2025-12-03T22:14:24Z
13,Linha 1,Coluna 5,15,2025-12-02T17:31:56Z,2025-12-02T17:46:56Z
21,Linha 3,Coluna 7,15,2025-12-04T07:14:36Z,2025-12-04T07:29:36Z
25,Linha 1,Coluna 9,15,2025-12-04T16:27:40Z,2025-12-04T16:42:40Z
27,Linha 3,Coluna 9,15,2025-12-04T12:32:33Z,2025-12-04T12:47:33Z
15,Linha 3,Coluna 5,14.983333333333333,2025-12-01T03:50:15Z,2025-12-01T04:05:14Z
8,Linha 2,Coluna 3,10.016666666666667,2025-12-01T01:27:06Z,2025-12-01T01:37:07Z
20,Linha 2,Coluna 7,10.016666666666667,2025-12-04T17:08:06Z,2025-12-04T17:18:07Z
26,Linha 2,Coluna 9,10.016666666666667,2025-12-01T03:17:26Z,2025-12-01T03:27:27Z
1,Linha 1,Coluna 1,10,2025-12-01T20:40:13Z,2025-12-01T20:50:13Z
2,Linha 2,Coluna 1,10,2025-11-30T04:12:42Z,2025-11-30T04:22:42Z
7,Linha 1,Coluna 3,10,2025-11-30T08:18:58Z,2025-11-30T08:28:58Z
14,Linha 2,Coluna 5,10,2025-11-30T08:08:39Z,2025-11-30T08:18:39Z
19,Linha 1,Coluna 7,10,2025-11-30T09:55:51Z,2025-11-30T10:05:51Z
9,Linha 3,Coluna 3,9.95,2025-12-04T19:06:57Z,2025-12-04T19:16:54Z
