Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
24,Linha 3,Coluna 8,30.1,2025-11-24T16:26:07Z,2025-11-24T16:56:13Z
10,Linha 1,Coluna 4,30.083333333333332,2025-11-26T01:03:50Z,2025-11-26T01:33:55Z
27,Linha 3,Coluna 9,25,2025-11-23T13:37:47Z,2025-11-23T14:02:47Z
16,Linha 1,Coluna 6,20.45,2025-11-24T20:23:30Z,2025-11-24T20:43:57Z
22,Linha 1,Coluna 8,20.183333333333334,2025-11-23T22:58:18Z,2025-11-23T23:18:29Z
6,Linha 3,Coluna 2,20.133333333333333,2025-11-24T19:33:21Z,2025-11-24T19:53:29Z
30,Linha 3,Coluna 10,20.133333333333333,2025-11-24T15:27:02Z,2025-11-24T15:47:10Z
4,Linha 1,Coluna 2,20.066666666666666,2025-11-23T22:56:20Z,2025-11-23T23:16:24Z
5,Linha 2,Coluna 2,20.066666666666666,2025-11-23T11:42:18Z,2025-11-23T12:02:22Z
12,Linha 3,Coluna 4,20.066666666666666,2025-11-23T15:22:00Z,2025-11-23T15:42:04Z
18,Linha 3,Coluna 6,20.066666666666666,2025-11-23T05:25:21Z,2025-11-23T05:45:25Z
23,Linha 2,Coluna 8,20.066666666666666,2025-11-23T03:54:07Z,2025-11-23T04:14:11Z
28,Linha 1,Coluna 10,20.066666666666666,2025-11-23T20:26:51Z,2025-11-23T20:46:55Z
29,Linha 2,Coluna 10,20.066666666666666,2025-11-23T06:48:53Z,2025-11-23T07:08:57Z
11,Linha 2,Coluna 4,20.05,2025-11-23T23:01:52Z,2025-11-23T23:21:55Z
17,Linha 2,Coluna 6,20.05,2025-11-23T04:19:59Z,2025-11-23T04:40:02Z
8,Linha 2,Coluna 3,20,2025-11-23T23:02:13Z,2025-11-23T23:22:13Z
14,Linha 2,Coluna 5,20,2025-11-25T18:43:52Z,2025-11-25T19:03:52Z
26,Linha 2,Coluna 9,20,2025-11-25T23:42:36Z,2025-11-26T00:02:36Z
13,Linha 1,Coluna 5,15.05,2025-11-23T23:02:00Z,2025-11-23T23:17:03Z
2,Linha 2,Coluna 1,15,2025-11-23T23:02:51Z,2025-11-23T23:17:51Z
9,Linha 3,Coluna 3,15,2025-11-23T23:02:10Z,2025-11-23T23:17:10Z
15,Linha 3,Coluna 5,15,2025-11-23T23:00:34Z,2025-11-23T23:15:34Z
19,Linha 1,Coluna 7,15,2025-11-23T23:01:04Z,2025-11-23T23:16:04Z
20,Linha 2,Coluna 7,15,2025-11-23T15:13:22Z,2025-11-23T15:28:22Z
25,Linha 1,Coluna 9,15,2025-11-23T23:02:49Z,2025-11-23T23:17:49Z
7,Linha 1,Coluna 3,10.033333333333333,2025-11-23T14:49:04Z,2025-11-23T14:59:06Z
21,Linha 3,Coluna 7,10.016666666666667,2025-11-26T02:34:53Z,2025-11-26T02:44:54Z
1,Linha 1,Coluna 1,10,2025-11-23T14:05:24Z,2025-11-23T14:15:24Z
3,Linha 3,Coluna 1,9.966666666666667,2025-11-23T23:04:37Z,2025-11-23T23:14:35Z
