Sensor,Linha,Coluna,max_gap_min,p95_gap_min,inicio_max_gap,fim_max_gap
4,Linha 1,Coluna 2,411,10,2025-08-20T10:19:55Z,2025-08-20T17:11:07Z
5,Linha 2,Coluna 2,411,10,2025-08-20T10:16:13Z,2025-08-20T17:07:27Z
6,Linha 3,Coluna 2,411,10,2025-08-20T10:19:34Z,2025-08-20T17:10:47Z
10,Linha 1,Coluna 4,411,10,2025-08-20T10:17:32Z,2025-08-20T17:08:47Z
11,Linha 2,Coluna 4,411,10,2025-08-20T10:20:16Z,2025-08-20T17:11:30Z
12,Linha 3,Coluna 4,411,10,2025-08-20T10:17:57Z,2025-08-20T17:09:09Z
16,Linha 1,Coluna 6,411,10,2025-08-20T10:16:48Z,2025-08-20T17:08:02Z
17,Linha 2,Coluna 6,411,10,2025-08-20T10:14:52Z,2025-08-20T17:06:06Z
18,Linha 3,Coluna 6,411,10,2025-08-20T10:15:50Z,2025-08-20T17:07:04Z
24,Linha 3,Coluna 8,411,10,2025-08-20T10:20:21Z,2025-08-20T17:11:36Z
28,Linha 1,Coluna 10,411,10,2025-08-20T10:20:27Z,2025-08-20T17:11:40Z
29,Linha 2,Coluna 10,411,20,2025-08-20T10:17:13Z,2025-08-20T17:08:28Z
30,Linha 3,Coluna 10,411,10,2025-08-20T10:16:54Z,2025-08-20T17:08:09Z
13,Linha 1,Coluna 5,410,5,2025-08-20T10:14:17Z,2025-08-20T17:04:17Z
1,Linha 1,Coluna 1,405,5,2025-08-20T10:22:30Z,2025-08-20T17:07:30Z
2,Linha 2,Coluna 1,405,5,2025-08-20T10:19:59Z,2025-08-20T17:04:59Z
3,Linha 3,Coluna 1,405,5,2025-08-20T10:21:06Z,2025-08-20T17:06:06Z
7,Linha 1,Coluna 3,405,5,2025-08-20T10:20:13Z,2025-08-20T17:05:13Z
9,Linha 3,Coluna 3,405,5,2025-08-20T10:19:17Z,2025-08-20T17:04:17Z
15,Linha 3,Coluna 5,405,5,2025-08-20T10:19:53Z,2025-08-20T17:04:52Z
20,Linha 2,Coluna 7,405,5,2025-08-20T10:21:23Z,2025-08-20T17:06:22Z
21,Linha 3,Coluna 7,405,5,2025-08-20T10:23:17Z,2025-08-20T17:08:16Z
25,Linha 1,Coluna 9,405,10,2025-08-20T10:20:11Z,2025-08-20T17:05:10Z
26,Linha 2,Coluna 9,405,5,2025-08-20T10:20:32Z,2025-08-20T17:05:32Z
27,Linha 3,Coluna 9,405,5,2025-08-20T10:19:49Z,2025-08-20T17:04:49Z
22,Linha 1,Coluna 8,401,20,2025-08-20T10:23:17Z,2025-08-20T17:04:27Z
23,Linha 2,Coluna 8,401,10,2025-08-20T10:23:16Z,2025-08-20T17:04:27Z
8,Linha 2,Coluna 3,400,5,2025-08-20T10:23:46Z,2025-08-20T17:03:46Z
14,Linha 2,Coluna 5,400,5,2025-08-20T10:23:32Z,2025-08-20T17:03:32Z
19,Linha 1,Coluna 7,400,10,2025-08-20T10:23:52Z,2025-08-20T17:03:52Z
