Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
16,Linha 1,Coluna 6,51.18333333333333,2025-12-24T10:54:43Z,2025-12-24T11:45:54Z
29,Linha 2,Coluna 10,50.266666666666666,2025-12-24T10:45:39Z,2025-12-24T11:35:55Z
18,Linha 3,Coluna 6,50.15,2025-12-25T06:03:42Z,2025-12-25T06:53:51Z
8,Linha 2,Coluna 3,45.1,2025-12-24T10:46:39Z,2025-12-24T11:31:45Z
26,Linha 2,Coluna 9,45.06666666666667,2025-12-24T10:46:42Z,2025-12-24T11:31:46Z
2,Linha 2,Coluna 1,45,2025-12-23T17:32:10Z,2025-12-23T18:17:10Z
9,Linha 3,Coluna 3,40.166666666666664,2025-12-24T11:16:25Z,2025-12-24T11:56:35Z
30,Linha 3,Coluna 10,40.166666666666664,2025-12-24T10:56:26Z,2025-12-24T11:36:36Z
14,Linha 2,Coluna 5,34.86666666666667,2025-12-24T11:02:36Z,2025-12-24T11:37:28Z
22,Linha 1,Coluna 8,30.35,2025-12-22T23:21:45Z,2025-12-22T23:52:06Z
5,Linha 2,Coluna 2,30.216666666666665,2025-12-24T11:15:22Z,2025-12-24T11:45:35Z
13,Linha 1,Coluna 5,30.15,2025-12-24T11:16:26Z,2025-12-24T11:46:35Z
28,Linha 1,Coluna 10,30.15,2025-12-22T20:40:20Z,2025-12-22T21:10:29Z
12,Linha 3,Coluna 4,30.116666666666667,2025-12-22T11:24:20Z,2025-12-22T11:54:27Z
6,Linha 3,Coluna 2,30.1,2025-12-22T20:33:32Z,2025-12-22T21:03:38Z
11,Linha 2,Coluna 4,30.1,2025-12-25T00:47:13Z,2025-12-25T01:17:19Z
17,Linha 2,Coluna 6,30.1,2025-12-31T09:47:20Z,2025-12-31T10:17:26Z
23,Linha 2,Coluna 8,30.1,2025-12-26T17:26:37Z,2025-12-26T17:56:43Z
24,Linha 3,Coluna 8,30.083333333333332,2025-12-30T09:40:55Z,2025-12-30T10:11:00Z
4,Linha 1,Coluna 2,30.05,2025-12-24T11:38:08Z,2025-12-24T12:08:11Z
15,Linha 3,Coluna 5,30,2025-12-24T10:49:06Z,2025-12-24T11:19:06Z
25,Linha 1,Coluna 9,30,2025-12-21T01:02:15Z,2025-12-21T01:32:15Z
27,Linha 3,Coluna 9,29.933333333333334,2025-12-25T12:57:10Z,2025-12-25T13:27:06Z
21,Linha 3,Coluna 7,25.066666666666666,2025-12-24T11:18:52Z,2025-12-24T11:43:56Z
1,Linha 1,Coluna 1,25,2026-01-01T11:19:45Z,2026-01-01T11:44:45Z
3,Linha 3,Coluna 1,25,2025-12-28T01:43:57Z,2025-12-28T02:08:57Z
19,Linha 1,Coluna 7,25,2025-12-20T19:05:11Z,2025-12-20T19:30:11Z
10,Linha 1,Coluna 4,20.15,2025-12-31T22:09:13Z,2025-12-31T22:29:22Z
20,Linha 2,Coluna 7,15.033333333333333,2025-12-24T11:37:40Z,2025-12-24T11:52:42Z
7,Linha 1,Coluna 3,14.983333333333333,2025-12-24T11:13:37Z,2025-12-24T11:28:36Z
