Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
16,Linha 1,Coluna 6,40.11666666666667,2025-07-28T08:47:22Z,2025-07-28T09:27:29Z
17,Linha 2,Coluna 6,30.083333333333332,2025-07-28T10:44:27Z,2025-07-28T11:14:32Z
18,Linha 3,Coluna 6,30.083333333333332,2025-07-28T00:04:43Z,2025-07-28T00:34:48Z
22,Linha 1,Coluna 8,30.083333333333332,2025-07-27T03:10:56Z,2025-07-27T03:41:01Z
5,Linha 2,Coluna 2,20.083333333333332,2025-07-28T12:47:47Z,2025-07-28T13:07:52Z
4,Linha 1,Coluna 2,20.066666666666666,2025-07-29T01:03:29Z,2025-07-29T01:23:33Z
6,Linha 3,Coluna 2,20.066666666666666,2025-07-27T15:08:10Z,2025-07-27T15:28:14Z
10,Linha 1,Coluna 4,20.066666666666666,2025-07-27T16:05:00Z,2025-07-27T16:25:04Z
11,Linha 2,Coluna 4,20.066666666666666,2025-07-28T07:39:54Z,2025-07-28T07:59:58Z
12,Linha 3,Coluna 4,20.066666666666666,2025-07-28T00:08:46Z,2025-07-28T00:28:50Z
23,Linha 2,Coluna 8,20.066666666666666,2025-07-28T02:04:07Z,2025-07-28T02:24:11Z
24,Linha 3,Coluna 8,20.066666666666666,2025-07-27T03:25:11Z,2025-07-27T03:45:15Z
28,Linha 1,Coluna 10,20.066666666666666,2025-07-27T03:47:16Z,2025-07-27T04:07:20Z
29,Linha 2,Coluna 10,20.066666666666666,2025-07-27T11:52:12Z,2025-07-27T12:12:16Z
30,Linha 3,Coluna 10,20.066666666666666,2025-07-27T23:35:15Z,2025-07-27T23:55:19Z
20,Linha 2,Coluna 7,20,2025-07-27T16:31:58Z,2025-07-27T16:51:58Z
1,Linha 1,Coluna 1,15,2025-07-27T23:39:56Z,2025-07-27T23:54:56Z
15,Linha 3,Coluna 5,15,2025-07-27T05:56:09Z,2025-07-27T06:11:09Z
25,Linha 1,Coluna 9,15,2025-07-27T18:52:25Z,2025-07-27T19:07:25Z
26,Linha 2,Coluna 9,15,2025-07-27T21:57:37Z,2025-07-27T22:12:37Z
27,Linha 3,Coluna 9,15,2025-07-29T01:03:06Z,2025-07-29T01:18:06Z
2,Linha 2,Coluna 1,10,2025-07-27T12:15:05Z,2025-07-27T12:25:05Z
3,Linha 3,Coluna 1,10,2025-07-27T10:15:21Z,2025-07-27T10:25:21Z
7,Linha 1,Coluna 3,10,2025-07-27T06:00:36Z,2025-07-27T06:10:36Z
8,Linha 2,Coluna 3,10,2025-07-27T06:36:52Z,2025-07-27T06:46:52Z
9,Linha 3,Coluna 3,10,2025-07-27T19:00:58Z,2025-07-27T19:10:58Z
13,Linha 1,Coluna 5,10,2025-07-27T11:56:22Z,2025-07-27T12:06:22Z
14,Linha 2,Coluna 5,10,2025-07-27T14:25:57Z,2025-07-27T14:35:57Z
19,Linha 1,Coluna 7,10,2025-07-27T03:11:38Z,2025-07-27T03:21:38Z
21,Linha 3,Coluna 7,10,2025-07-27T23:42:02Z,2025-07-27T23:52:02Z
