Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
11,Linha 2,Coluna 4,40.11666666666667,2025-11-26T09:32:29Z,2025-11-26T10:12:36Z
4,Linha 1,Coluna 2,30.1,2025-11-27T21:13:15Z,2025-11-27T21:43:21Z
17,Linha 2,Coluna 6,30.1,2025-11-26T19:35:55Z,2025-11-26T20:06:01Z
16,Linha 1,Coluna 6,20.45,2025-11-26T08:29:48Z,2025-11-26T08:50:15Z
22,Linha 1,Coluna 8,20.183333333333334,2025-11-27T02:17:37Z,2025-11-27T02:37:48Z
5,Linha 2,Coluna 2,20.066666666666666,2025-11-27T11:39:29Z,2025-11-27T11:59:33Z
10,Linha 1,Coluna 4,20.066666666666666,2025-11-27T15:00:39Z,2025-11-27T15:20:43Z
12,Linha 3,Coluna 4,20.066666666666666,2025-11-27T10:08:00Z,2025-11-27T10:28:04Z
18,Linha 3,Coluna 6,20.066666666666666,2025-11-27T11:53:48Z,2025-11-27T12:13:52Z
23,Linha 2,Coluna 8,20.066666666666666,2025-11-26T05:27:10Z,2025-11-26T05:47:14Z
24,Linha 3,Coluna 8,20.066666666666666,2025-11-26T04:42:40Z,2025-11-26T05:02:44Z
28,Linha 1,Coluna 10,20.066666666666666,2025-11-27T14:02:45Z,2025-11-27T14:22:49Z
29,Linha 2,Coluna 10,20.066666666666666,2025-11-27T08:16:44Z,2025-11-27T08:36:48Z
30,Linha 3,Coluna 10,20.066666666666666,2025-11-26T22:16:56Z,2025-11-26T22:37:00Z
20,Linha 2,Coluna 7,20,2025-11-26T04:38:19Z,2025-11-26T04:58:19Z
2,Linha 2,Coluna 1,15,2025-11-26T13:22:47Z,2025-11-26T13:37:47Z
7,Linha 1,Coluna 3,15,2025-11-28T01:19:00Z,2025-11-28T01:34:00Z
9,Linha 3,Coluna 3,15,2025-11-27T03:47:05Z,2025-11-27T04:02:05Z
26,Linha 2,Coluna 9,15,2025-11-26T07:02:35Z,2025-11-26T07:17:35Z
6,Linha 3,Coluna 2,10.116666666666667,2025-11-26T16:21:20Z,2025-11-26T16:31:27Z
13,Linha 1,Coluna 5,10.016666666666667,2025-11-27T20:22:02Z,2025-11-27T20:32:03Z
1,Linha 1,Coluna 1,10,2025-11-26T16:10:20Z,2025-11-26T16:20:20Z
8,Linha 2,Coluna 3,10,2025-11-26T05:12:11Z,2025-11-26T05:22:11Z
14,Linha 2,Coluna 5,10,2025-11-26T06:08:51Z,2025-11-26T06:18:51Z
15,Linha 3,Coluna 5,10,2025-11-26T17:05:26Z,2025-11-26T17:15:26Z
19,Linha 1,Coluna 7,10,2025-11-27T02:45:58Z,2025-11-27T02:55:58Z
21,Linha 3,Coluna 7,10,2025-11-26T03:44:53Z,2025-11-26T03:54:53Z
25,Linha 1,Coluna 9,10,2025-11-27T06:52:51Z,2025-11-27T07:02:51Z
27,Linha 3,Coluna 9,10,2025-11-26T11:22:43Z,2025-11-26T11:32:43Z
3,Linha 3,Coluna 1,5.05,2025-11-27T04:39:33Z,2025-11-27T04:44:36Z
