Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
23,Linha 2,Coluna 8,40.11666666666667,2025-10-06T12:39:35Z,2025-10-06T13:19:42Z
11,Linha 2,Coluna 4,30.1,2025-10-08T02:12:32Z,2025-10-08T02:42:38Z
17,Linha 2,Coluna 6,30.1,2025-10-12T20:27:50Z,2025-10-12T20:57:56Z
18,Linha 3,Coluna 6,30.1,2025-10-06T20:18:31Z,2025-10-06T20:48:37Z
29,Linha 2,Coluna 10,30.1,2025-10-07T18:52:26Z,2025-10-07T19:22:32Z
4,Linha 1,Coluna 2,30.083333333333332,2025-10-12T19:02:15Z,2025-10-12T19:32:20Z
5,Linha 2,Coluna 2,30.083333333333332,2025-10-11T19:34:31Z,2025-10-11T20:04:36Z
10,Linha 1,Coluna 4,30.083333333333332,2025-10-06T11:00:19Z,2025-10-06T11:30:24Z
16,Linha 1,Coluna 6,30.083333333333332,2025-10-07T02:44:46Z,2025-10-07T03:14:51Z
30,Linha 3,Coluna 10,30.083333333333332,2025-10-08T07:29:04Z,2025-10-08T07:59:09Z
7,Linha 1,Coluna 3,25,2025-10-08T18:04:36Z,2025-10-08T18:29:36Z
8,Linha 2,Coluna 3,25,2025-10-09T14:33:03Z,2025-10-09T14:58:03Z
14,Linha 2,Coluna 5,25,2025-10-10T04:26:10Z,2025-10-10T04:51:10Z
24,Linha 3,Coluna 8,20.133333333333333,2025-10-07T06:16:14Z,2025-10-07T06:36:22Z
6,Linha 3,Coluna 2,20.066666666666666,2025-10-06T05:59:49Z,2025-10-06T06:19:53Z
12,Linha 3,Coluna 4,20.066666666666666,2025-10-06T05:34:28Z,2025-10-06T05:54:32Z
22,Linha 1,Coluna 8,20.066666666666666,2025-10-08T08:21:36Z,2025-10-08T08:41:40Z
28,Linha 1,Coluna 10,20.066666666666666,2025-10-06T21:37:22Z,2025-10-06T21:57:26Z
27,Linha 3,Coluna 9,20,2025-10-10T10:08:43Z,2025-10-10T10:28:43Z
25,Linha 1,Coluna 9,15.016666666666667,2025-10-10T16:38:56Z,2025-10-10T16:53:57Z
3,Linha 3,Coluna 1,15,2025-10-06T15:55:21Z,2025-10-06T16:10:21Z
20,Linha 2,Coluna 7,15,2025-10-06T17:59:41Z,2025-10-06T18:14:41Z
15,Linha 3,Coluna 5,10.016666666666667,2025-10-07T04:17:45Z,2025-10-07T04:27:46Z
19,Linha 1,Coluna 7,10.016666666666667,2025-10-10T13:32:28Z,2025-10-10T13:42:29Z
1,Linha 1,Coluna 1,10,2025-10-06T22:01:28Z,2025-10-06T22:11:28Z
2,Linha 2,Coluna 1,10,2025-10-06T06:44:08Z,2025-10-06T06:54:08Z
9,Linha 3,Coluna 3,10,2025-10-06T06:33:21Z,2025-10-06T06:43:21Z
13,Linha 1,Coluna 5,10,2025-10-06T08:58:20Z,2025-10-06T09:08:20Z
21,Linha 3,Coluna 7,10,2025-10-06T07:56:50Z,2025-10-06T08:06:50Z
26,Linha 2,Coluna 9,10,2025-10-06T19:04:14Z,2025-10-06T19:14:14Z
