Lote,Sensor,Linha,Coluna,total_falhas
lote1,12,3,4,5794
lote1,23,2,8,5756
lote1,11,2,4,5736
lote1,28,1,10,5735
lote1,6,3,2,5726
lote1,24,3,8,5723
lote1,5,2,2,5709
lote1,30,3,10,5704
lote1,10,1,4,5670
lote1,17,2,6,5620
lote1,18,3,6,5515
lote1,29,2,10,5492
lote1,22,1,8,5436
lote1,16,1,6,5300
lote1,4,1,2,5106
lote1,25,1,9,124
lote1,26,2,9,67
lote1,13,1,5,43
lote1,20,2,7,42
lote1,19,1,7,41
lote1,27,3,9,33
lote1,8,2,3,31
lote1,21,3,7,31
lote1,14,2,5,29
lote1,15,3,5,24
lote1,1,1,1,23
lote1,2,2,1,21
lote1,3,3,1,19
lote1,7,1,3,16
lote1,9,3,3,16
