Lote,Sensor,Linha,Coluna,total_falhas
lote1,16,1,6,364
lote1,22,1,8,278
lote1,29,2,10,255
lote1,18,3,6,252
lote1,17,2,6,185
lote1,10,1,4,145
lote1,30,3,10,131
lote1,5,2,2,121
lote1,24,3,8,120
lote1,11,2,4,110
lote1,6,3,2,104
lote1,28,1,10,98
lote1,23,2,8,92
lote1,12,3,4,71
lote1,4,1,2,52
lote1,25,1,9,23
lote1,26,2,9,21
lote1,13,1,5,16
lote1,3,3,1,15
lote1,1,1,1,10
lote1,14,2,5,10
lote1,20,2,7,9
lote1,7,1,3,7
lote1,15,3,5,7
lote1,19,1,7,7
lote1,2,2,1,6
lote1,9,3,3,6
lote1,21,3,7,6
lote1,27,3,9,6
lote1,8,2,3,4
