Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
29,Linha 2,Coluna 10,50.15,2025-09-30T16:31:16Z,2025-09-30T17:21:25Z
26,Linha 2,Coluna 9,49.983333333333334,2025-09-29T06:39:33Z,2025-09-29T07:29:32Z
17,Linha 2,Coluna 6,30.183333333333334,2025-10-01T00:26:11Z,2025-10-01T00:56:22Z
23,Linha 2,Coluna 8,30.1,2025-09-30T01:42:04Z,2025-09-30T02:12:10Z
4,Linha 1,Coluna 2,30.083333333333332,2025-09-29T17:05:54Z,2025-09-29T17:35:59Z
21,Linha 3,Coluna 7,25,2025-09-30T19:37:02Z,2025-09-30T20:02:02Z
5,Linha 2,Coluna 2,20.066666666666666,2025-09-30T12:46:07Z,2025-09-30T13:06:11Z
6,Linha 3,Coluna 2,20.066666666666666,2025-09-29T19:02:25Z,2025-09-29T19:22:29Z
10,Linha 1,Coluna 4,20.066666666666666,2025-09-29T05:59:12Z,2025-09-29T06:19:16Z
11,Linha 2,Coluna 4,20.066666666666666,2025-09-29T14:35:45Z,2025-09-29T14:55:49Z
12,Linha 3,Coluna 4,20.066666666666666,2025-09-29T10:45:46Z,2025-09-29T11:05:50Z
16,Linha 1,Coluna 6,20.066666666666666,2025-09-29T07:01:06Z,2025-09-29T07:21:10Z
18,Linha 3,Coluna 6,20.066666666666666,2025-09-29T05:55:36Z,2025-09-29T06:15:40Z
22,Linha 1,Coluna 8,20.066666666666666,2025-09-30T03:27:05Z,2025-09-30T03:47:09Z
24,Linha 3,Coluna 8,20.066666666666666,2025-09-29T06:31:31Z,2025-09-29T06:51:35Z
28,Linha 1,Coluna 10,20.066666666666666,2025-09-29T06:14:50Z,2025-09-29T06:34:54Z
30,Linha 3,Coluna 10,20.066666666666666,2025-09-29T10:40:33Z,2025-09-29T11:00:37Z
19,Linha 1,Coluna 7,20,2025-09-29T17:37:50Z,2025-09-29T17:57:50Z
2,Linha 2,Coluna 1,15,2025-10-01T02:09:16Z,2025-10-01T02:24:16Z
13,Linha 1,Coluna 5,15,2025-09-30T09:38:28Z,2025-09-30T09:53:28Z
25,Linha 1,Coluna 9,15,2025-09-30T15:59:23Z,2025-09-30T16:14:23Z
14,Linha 2,Coluna 5,10.016666666666667,2025-09-29T14:46:42Z,2025-09-29T14:56:43Z
1,Linha 1,Coluna 1,10,2025-09-29T11:31:39Z,2025-09-29T11:41:39Z
3,Linha 3,Coluna 1,10,2025-09-29T05:55:29Z,2025-09-29T06:05:29Z
7,Linha 1,Coluna 3,10,2025-09-29T18:09:45Z,2025-09-29T18:19:45Z
8,Linha 2,Coluna 3,10,2025-09-30T23:33:13Z,2025-09-30T23:43:13Z
9,Linha 3,Coluna 3,10,2025-09-29T08:58:30Z,2025-09-29T09:08:30Z
15,Linha 3,Coluna 5,10,2025-09-29T03:53:08Z,2025-09-29T04:03:08Z
20,Linha 2,Coluna 7,10,2025-09-29T12:29:52Z,2025-09-29T12:39:52Z
27,Linha 3,Coluna 9,10,2025-09-29T03:43:58Z,2025-09-29T03:53:58Z
