Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
16,Linha 1,Coluna 6,40.11666666666667,2025-07-30T03:35:04Z,2025-07-30T04:15:11Z
18,Linha 3,Coluna 6,30.1,2025-07-30T05:04:12Z,2025-07-30T05:34:18Z
24,Linha 3,Coluna 8,20.133333333333333,2025-07-30T10:49:31Z,2025-07-30T11:09:39Z
4,Linha 1,Coluna 2,20.066666666666666,2025-07-30T14:40:13Z,2025-07-30T15:00:17Z
6,Linha 3,Coluna 2,20.066666666666666,2025-07-30T00:58:26Z,2025-07-30T01:18:30Z
10,Linha 1,Coluna 4,20.066666666666666,2025-07-29T05:11:41Z,2025-07-29T05:31:45Z
17,Linha 2,Coluna 6,20.066666666666666,2025-07-29T11:28:57Z,2025-07-29T11:49:01Z
22,Linha 1,Coluna 8,20.066666666666666,2025-07-29T23:02:51Z,2025-07-29T23:22:55Z
23,Linha 2,Coluna 8,20.066666666666666,2025-07-30T02:22:39Z,2025-07-30T02:42:43Z
28,Linha 1,Coluna 10,20.066666666666666,2025-07-29T03:55:47Z,2025-07-29T04:15:51Z
29,Linha 2,Coluna 10,20.066666666666666,2025-07-29T08:40:23Z,2025-07-29T09:00:27Z
30,Linha 3,Coluna 10,20.066666666666666,2025-07-29T03:30:17Z,2025-07-29T03:50:21Z
11,Linha 2,Coluna 4,20.05,2025-07-29T13:35:19Z,2025-07-29T13:55:22Z
12,Linha 3,Coluna 4,20.05,2025-07-30T13:49:37Z,2025-07-30T14:09:40Z
14,Linha 2,Coluna 5,20,2025-07-30T23:50:47Z,2025-07-31T00:10:47Z
2,Linha 2,Coluna 1,15,2025-07-29T16:40:02Z,2025-07-29T16:55:02Z
7,Linha 1,Coluna 3,15,2025-07-29T22:00:34Z,2025-07-29T22:15:34Z
8,Linha 2,Coluna 3,15,2025-07-30T08:21:49Z,2025-07-30T08:36:49Z
25,Linha 1,Coluna 9,15,2025-07-30T14:12:20Z,2025-07-30T14:27:20Z
26,Linha 2,Coluna 9,15,2025-07-29T12:07:34Z,2025-07-29T12:22:34Z
5,Linha 2,Coluna 2,10.116666666666667,2025-07-29T11:01:47Z,2025-07-29T11:11:54Z
19,Linha 1,Coluna 7,10.016666666666667,2025-07-29T22:26:33Z,2025-07-29T22:36:34Z
1,Linha 1,Coluna 1,10,2025-07-29T12:04:54Z,2025-07-29T12:14:54Z
3,Linha 3,Coluna 1,10,2025-07-29T10:45:19Z,2025-07-29T10:55:19Z
9,Linha 3,Coluna 3,10,2025-07-30T12:10:54Z,2025-07-30T12:20:54Z
13,Linha 1,Coluna 5,10,2025-07-29T22:26:19Z,2025-07-29T22:36:19Z
15,Linha 3,Coluna 5,10,2025-07-29T12:11:03Z,2025-07-29T12:21:03Z
20,Linha 2,Coluna 7,10,2025-07-29T08:06:56Z,2025-07-29T08:16:56Z
21,Linha 3,Coluna 7,10,2025-07-29T17:16:58Z,2025-07-29T17:26:58Z
27,Linha 3,Coluna 9,10,2025-07-30T22:38:04Z,2025-07-30T22:48:04Z
