Lote,Sensor,Linha,Coluna,total_falhas
lote2,29,2,10,41
lote2,16,1,6,16
lote2,17,2,6,10
lote2,23,2,8,8
lote2,28,1,10,8
lote2,11,2,4,7
lote2,18,3,6,7
lote2,22,1,8,7
lote2,5,2,2,6
lote2,4,1,2,5
lote2,10,1,4,5
lote2,24,3,8,4
lote2,12,3,4,3
lote2,26,2,9,3
lote2,30,3,10,3
lote2,20,2,7,2
lote2,1,1,1,1
lote2,2,2,1,1
lote2,3,3,1,1
lote2,6,3,2,1
lote2,7,1,3,1
lote2,8,2,3,1
lote2,9,3,3,1
lote2,13,1,5,1
lote2,14,2,5,1
lote2,15,3,5,1
lote2,19,1,7,1
lote2,21,3,7,1
lote2,25,1,9,1
lote2,27,3,9,1
