Lote,Sensor,Linha,Coluna,total_falhas
lote2,29,2,10,336
lote2,17,2,6,209
lote2,11,2,4,182
lote2,16,1,6,180
lote2,28,1,10,122
lote2,10,1,4,110
lote2,23,2,8,109
lote2,6,3,2,105
lote2,18,3,6,103
lote2,30,3,10,100
lote2,22,1,8,96
lote2,12,3,4,87
lote2,5,2,2,86
lote2,24,3,8,76
lote2,4,1,2,61
lote2,20,2,7,11
lote2,27,3,9,6
lote2,7,1,3,5
lote2,14,2,5,5
lote2,26,2,9,5
lote2,8,2,3,4
lote2,19,1,7,4
lote2,25,1,9,4
lote2,2,2,1,3
lote2,3,3,1,3
lote2,13,1,5,3
lote2,21,3,7,3
lote2,1,1,1,2
lote2,9,3,3,2
lote2,15,3,5,1
