Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
16,Linha 1,Coluna 6,70.21666666666667,2025-10-19T12:48:18Z,2025-10-19T13:58:31Z
12,Linha 3,Coluna 4,70.2,2025-10-19T12:50:53Z,2025-10-19T14:01:05Z
22,Linha 1,Coluna 8,70.2,2025-10-19T12:48:53Z,2025-10-19T13:59:05Z
24,Linha 3,Coluna 8,70.2,2025-10-19T12:49:23Z,2025-10-19T13:59:35Z
4,Linha 1,Coluna 2,60.18333333333333,2025-10-19T12:51:16Z,2025-10-19T13:51:27Z
6,Linha 3,Coluna 2,60.18333333333333,2025-10-19T12:56:18Z,2025-10-19T13:56:29Z
10,Linha 1,Coluna 4,60.18333333333333,2025-10-19T12:56:48Z,2025-10-19T13:56:59Z
11,Linha 2,Coluna 4,60.18333333333333,2025-10-19T12:52:17Z,2025-10-19T13:52:28Z
17,Linha 2,Coluna 6,60.18333333333333,2025-10-19T12:57:05Z,2025-10-19T13:57:16Z
18,Linha 3,Coluna 6,60.18333333333333,2025-10-19T12:53:20Z,2025-10-19T13:53:31Z
28,Linha 1,Coluna 10,60.18333333333333,2025-10-19T12:51:04Z,2025-10-19T13:51:15Z
29,Linha 2,Coluna 10,60.18333333333333,2025-10-19T12:53:57Z,2025-10-19T13:54:08Z
5,Linha 2,Coluna 2,60.166666666666664,2025-10-19T12:57:41Z,2025-10-19T13:57:51Z
23,Linha 2,Coluna 8,60.166666666666664,2025-10-19T12:54:43Z,2025-10-19T13:54:53Z
30,Linha 3,Coluna 10,60.166666666666664,2025-10-19T12:57:44Z,2025-10-19T13:57:54Z
2,Linha 2,Coluna 1,60,2025-10-19T12:53:38Z,2025-10-19T13:53:38Z
3,Linha 3,Coluna 1,60,2025-10-19T12:55:06Z,2025-10-19T13:55:06Z
7,Linha 1,Coluna 3,60,2025-10-19T12:54:26Z,2025-10-19T13:54:26Z
8,Linha 2,Coluna 3,60,2025-10-19T12:52:52Z,2025-10-19T13:52:52Z
9,Linha 3,Coluna 3,60,2025-10-19T12:53:01Z,2025-10-19T13:53:01Z
13,Linha 1,Coluna 5,60,2025-10-19T12:52:48Z,2025-10-19T13:52:48Z
14,Linha 2,Coluna 5,60,2025-10-19T12:55:42Z,2025-10-19T13:55:42Z
20,Linha 2,Coluna 7,60,2025-10-19T12:54:13Z,2025-10-19T13:54:13Z
25,Linha 1,Coluna 9,60,2025-10-19T12:53:42Z,2025-10-19T13:53:42Z
26,Linha 2,Coluna 9,60,2025-10-19T12:53:50Z,2025-10-19T13:53:50Z
27,Linha 3,Coluna 9,60,2025-10-19T12:53:31Z,2025-10-19T13:53:31Z
1,Linha 1,Coluna 1,55,2025-10-19T12:56:11Z,2025-10-19T13:51:11Z
15,Linha 3,Coluna 5,55,2025-10-19T12:57:09Z,2025-10-19T13:52:09Z
19,Linha 1,Coluna 7,55,2025-10-19T12:57:11Z,2025-10-19T13:52:11Z
21,Linha 3,Coluna 7,55,2025-10-19T12:56:14Z,2025-10-19T13:51:14Z
