Dia,s21_obs,s21_leitura
2025-07-21,161,161
2025-07-22,287,287
2025-07-23,191,191
2025-07-24,285,285
2025-07-25,283,283
2025-07-26,286,286
2025-07-27,287,287
2025-07-28,284,284
2025-07-29,284,284
2025-07-30,287,287
2025-07-31,288,288
2025-08-01,278,278
2025-08-02,283,283
2025-08-03,285,285
2025-08-04,283,283
2025-08-05,286,286
2025-08-06,285,285
2025-08-07,289,289
2025-08-08,186,186
2025-08-10,112,112
2025-08-11,284,284
2025-08-12,283,283
2025-08-13,285,285
2025-08-14,283,283
2025-08-15,284,284
2025-08-16,283,283
2025-08-17,277,277
2025-08-18,279,279
2025-08-19,280,280
2025-08-20,190,190
2025-08-21,275,275
2025-08-22,268,268
2025-08-23,273,273
2025-08-24,280,280
2025-08-25,280,280
2025-08-26,283,283
2025-08-27,282,282
2025-08-28,282,282
2025-08-29,286,286
2025-08-30,286,286
2025-08-31,282,282
2025-09-01,290,290
2025-09-02,283,283
2025-09-03,84,84
