Dia,s21_obs,s21_leitura
2025-11-23,285,285
2025-11-24,285,285
2025-11-25,284,284
2025-11-26,285,285
2025-11-27,283,283
2025-11-28,287,287
2025-11-29,287,287
2025-11-30,283,283
2025-12-01,287,287
2025-12-02,287,287
2025-12-03,277,277
2025-12-04,259,259
2025-12-05,285,285
2025-12-06,287,287
2025-12-07,282,282
2025-12-08,288,288
2025-12-09,286,286
2025-12-10,285,285
2025-12-11,284,284
2025-12-12,285,285
2025-12-13,285,285
2025-12-14,287,287
2025-12-15,282,282
2025-12-16,284,284
2025-12-17,282,282
2025-12-18,288,288
2025-12-19,284,284
2025-12-20,284,284
2025-12-21,283,283
2025-12-22,282,282
2025-12-23,285,285
2025-12-24,277,277
2025-12-25,283,283
2025-12-26,285,285
2025-12-27,284,284
2025-12-28,283,283
2025-12-29,345,345
2025-12-30,528,528
2025-12-31,305,305
2026-01-01,283,283
2026-01-02,287,287
2026-01-03,285,285
