Sensor,Linha,Coluna,total_falhas
16,Linha 1,Coluna 6,364
22,Linha 1,Coluna 8,278
29,Linha 2,Coluna 10,255
18,Linha 3,Coluna 6,252
17,Linha 2,Coluna 6,185
10,Linha 1,Coluna 4,145
30,Linha 3,Coluna 10,131
5,Linha 2,Coluna 2,121
24,Linha 3,Coluna 8,120
11,Linha 2,Coluna 4,110
6,Linha 3,Coluna 2,104
28,Linha 1,Coluna 10,98
23,Linha 2,Coluna 8,92
12,Linha 3,Coluna 4,71
4,Linha 1,Coluna 2,52
25,Linha 1,Coluna 9,23
26,Linha 2,Coluna 9,21
13,Linha 1,Coluna 5,16
3,Linha 3,Coluna 1,15
1,Linha 1,Coluna 1,10
14,Linha 2,Coluna 5,10
20,Linha 2,Coluna 7,9
7,Linha 1,Coluna 3,7
15,Linha 3,Coluna 5,7
19,Linha 1,Coluna 7,7
2,Linha 2,Coluna 1,6
9,Linha 3,Coluna 3,6
21,Linha 3,Coluna 7,6
27,Linha 3,Coluna 9,6
8,Linha 2,Coluna 3,4
